id,Country,MODIS Fires,MODIS Fires per 1000km2,Year
5,Venezuela,95,1.81378187535033,2016
51,Suriname,28,21.0038451417238,2016
82,Peru,16657,17.4015635302172,2016
150,Guyana,368,22.8767680094446,2016
178,Ecuador,578,4.3966854704198,2016
195,Colombia,4130,12.1430348066511,2016
211,Brazil,126138,33.9118395582444,2016
214,Bolivia,65792,91.5960855675764,2016
5,Venezuela,28,0.534588342208519,2017
51,Suriname,72,54.0098875072898,2017
82,Peru,9969,10.4146116847412,2017
150,Guyana,512,31.8285467957491,2017
178,Ecuador,399,3.03508218459775,2017
195,Colombia,3157,9.28221813186379,2017
211,Brazil,145177,39.0304201077173,2017
214,Bolivia,50907,70.8730837790098,2017
5,Venezuela,44,0.840067394899102,2018
51,Suriname,37,27.755081080135,2018
82,Peru,11865,12.3953623873463,2018
150,Guyana,359,22.3172818353006,2018
178,Ecuador,307,2.33526373601882,2018
195,Colombia,5292,15.5595496844546,2018
211,Brazil,93405,25.111666380772,2018
214,Bolivia,45986,64.0220329357759,2018
5,Venezuela,64,1.22191621076233,2019
51,Suriname,11,8.2515105913915,2019
82,Peru,7149,7.46855842453758,2019
150,Guyana,370,23.0010982703655,2019
178,Ecuador,232,1.76475956598165,2019
195,Colombia,2335,6.86537197906302,2019
211,Brazil,84181,22.6318204335931,2019
214,Bolivia,26458,36.8350138610612,2019
