id,Country,VIIRS Fires,VIIRS Fires per 1000km2,Year
5,Venezuela,300,5.72773223794842,2016
51,Suriname,183,137.275130747695,2016
82,Peru,79503,83.0567632432524,2016
150,Guyana,2454,152.553230149938,2016
178,Ecuador,2951,22.4474374103959,2016
195,Colombia,15758,46.3317052017452,2016
211,Brazil,454632,122.22650939482,2016
214,Bolivia,236633,329.442128467174,2016
5,Venezuela,100,1.90924407931614,2017
51,Suriname,363,272.299849515919,2017
82,Peru,48845,51.0283586860454,2017
150,Guyana,2820,175.305667898462,2017
178,Ecuador,1990,15.1373773116529,2017
195,Colombia,12324,36.2350510792174,2017
211,Brazil,543680,146.166808820707,2017
214,Bolivia,174226,242.558663729581,2017
5,Venezuela,245,4.67764799432454,2018
51,Suriname,151,113.270736300011,2018
82,Peru,54034,56.4493056247676,2018
150,Guyana,2444,151.931578845333,2018
178,Ecuador,1933,14.7037941424247,2018
195,Colombia,19923,58.5776470830289,2018
211,Brazil,342749,92.1470857057247,2018
214,Bolivia,157438,219.186291944128,2018
5,Venezuela,249,4.75401775749719,2019
51,Suriname,44,33.006042365566,2019
82,Peru,30722,32.0952653404173,2019
150,Guyana,2184,135.768644925617,2019
178,Ecuador,903,6.86887020724754,2019
195,Colombia,8596,25.2739775297755,2019
211,Brazil,298451,80.2376954446526,2019
214,Bolivia,100814,140.353960518143,2019
