id,Country,VIIRS Fires,VIIRS Fires per 1000km2,Year
5,Venezuela,258,4.92584972463564,2016
51,Suriname,7,5.25096128543095,2016
82,Peru,32119,33.5547108739296,2016
150,Guyana,1618,100.583181085004,2016
178,Ecuador,1369,10.4136027837452,2016
195,Colombia,14371,42.2536448441605,2016
211,Brazil,217188,58.3903709427451,2016
214,Bolivia,132383,184.304544560014,2016
5,Venezuela,55,1.05008424362388,2017
51,Suriname,70,52.5096128543095,2017
82,Peru,19132,19.9871953809278,2017
150,Guyana,855,53.1511865436825,2017
178,Ecuador,1043,7.93381132465026,2017
195,Colombia,10886,32.0070404128822,2017
211,Brazil,170893,45.9440929587202,2017
214,Bolivia,55456,77.2062336034095,2017
5,Venezuela,198,3.78030327704596,2018
51,Suriname,26,19.5035704887435,2018
82,Peru,17386,18.1631496389719,2018
150,Guyana,1435,89.206962210742,2018
178,Ecuador,792,6.02452403559253,2018
195,Colombia,18330,53.8939050861778,2018
211,Brazil,117624,31.6228750749095,2018
214,Bolivia,58847,81.9272076756318,2018
5,Venezuela,249,4.75401775749719,2019
51,Suriname,44,33.006042365566,2019
82,Peru,30722,32.0952653404173,2019
150,Guyana,2184,135.768644925617,2019
178,Ecuador,903,6.86887020724754,2019
195,Colombia,8596,25.2739775297755,2019
211,Brazil,298451,80.2376954446526,2019
214,Bolivia,100814,140.353960518143,2019
